k1, k2, threshold, accuracy
1, 1, 0.1, 0.1757
1, 1, 0.15, 0.1757
1, 1, 0.2, 0.1757
1, 1, 0.25, 0.1757
1, 1, 0.3, 0.1757
1, 1, 0.35, 0.1892
1, 1, 0.4, 0.3514
1, 1, 0.45, 0.6081
1, 1, 0.5, 0.9459
1, 1, 0.55, 0.9865
1, 1, 0.6, 1.0000
1, 1, 0.65, 1.0000
1, 1, 0.7, 1.0000
1, 1, 0.75, 1.0000
1, 1, 0.8, 1.0000
1, 1, 0.85, 1.0000
1, 1, 0.9, 1.0000
1, 1, 0.95, 1.0000
1, 1, 1, 1.0000
1, 2, 0.1, 0.1757
1, 2, 0.15, 0.1757
1, 2, 0.2, 0.1757
1, 2, 0.25, 0.1757
1, 2, 0.3, 0.1757
1, 2, 0.35, 0.1892
1, 2, 0.4, 0.3514
1, 2, 0.45, 0.6081
1, 2, 0.5, 0.9459
1, 2, 0.55, 0.9865
1, 2, 0.6, 1.0000
1, 2, 0.65, 1.0000
1, 2, 0.7, 1.0000
1, 2, 0.75, 1.0000
1, 2, 0.8, 1.0000
1, 2, 0.85, 1.0000
1, 2, 0.9, 1.0000
1, 2, 0.95, 1.0000
1, 2, 1, 1.0000
1, 3, 0.1, 0.1757
1, 3, 0.15, 0.1757
1, 3, 0.2, 0.1757
1, 3, 0.25, 0.1757
1, 3, 0.3, 0.1757
1, 3, 0.35, 0.1892
1, 3, 0.4, 0.3514
1, 3, 0.45, 0.6081
1, 3, 0.5, 0.9459
1, 3, 0.55, 0.9865
1, 3, 0.6, 1.0000
1, 3, 0.65, 1.0000
1, 3, 0.7, 1.0000
1, 3, 0.75, 1.0000
1, 3, 0.8, 1.0000
1, 3, 0.85, 1.0000
1, 3, 0.9, 1.0000
1, 3, 0.95, 1.0000
1, 3, 1, 1.0000
1, 4, 0.1, 0.1757
1, 4, 0.15, 0.1757
1, 4, 0.2, 0.1757
1, 4, 0.25, 0.1757
1, 4, 0.3, 0.1757
1, 4, 0.35, 0.1892
1, 4, 0.4, 0.3514
1, 4, 0.45, 0.6081
1, 4, 0.5, 0.9459
1, 4, 0.55, 0.9865
1, 4, 0.6, 1.0000
1, 4, 0.65, 1.0000
1, 4, 0.7, 1.0000
1, 4, 0.75, 1.0000
1, 4, 0.8, 1.0000
1, 4, 0.85, 1.0000
1, 4, 0.9, 1.0000
1, 4, 0.95, 1.0000
1, 4, 1, 1.0000
1, 5, 0.1, 0.1757
1, 5, 0.15, 0.1757
1, 5, 0.2, 0.1757
1, 5, 0.25, 0.1757
1, 5, 0.3, 0.1757
1, 5, 0.35, 0.1892
1, 5, 0.4, 0.3514
1, 5, 0.45, 0.6081
1, 5, 0.5, 0.9459
1, 5, 0.55, 0.9865
1, 5, 0.6, 1.0000
1, 5, 0.65, 1.0000
1, 5, 0.7, 1.0000
1, 5, 0.75, 1.0000
1, 5, 0.8, 1.0000
1, 5, 0.85, 1.0000
1, 5, 0.9, 1.0000
1, 5, 0.95, 1.0000
1, 5, 1, 1.0000
1, 6, 0.1, 0.1757
1, 6, 0.15, 0.1757
1, 6, 0.2, 0.1757
1, 6, 0.25, 0.1757
1, 6, 0.3, 0.1757
1, 6, 0.35, 0.1892
1, 6, 0.4, 0.3514
1, 6, 0.45, 0.6081
1, 6, 0.5, 0.9459
1, 6, 0.55, 0.9865
1, 6, 0.6, 1.0000
1, 6, 0.65, 1.0000
1, 6, 0.7, 1.0000
1, 6, 0.75, 1.0000
1, 6, 0.8, 1.0000
1, 6, 0.85, 1.0000
1, 6, 0.9, 1.0000
1, 6, 0.95, 1.0000
1, 6, 1, 1.0000
1, 7, 0.1, 0.1757
1, 7, 0.15, 0.1757
1, 7, 0.2, 0.1757
1, 7, 0.25, 0.1757
1, 7, 0.3, 0.1757
1, 7, 0.35, 0.1892
1, 7, 0.4, 0.3514
1, 7, 0.45, 0.6081
1, 7, 0.5, 0.9459
1, 7, 0.55, 0.9865
1, 7, 0.6, 1.0000
1, 7, 0.65, 1.0000
1, 7, 0.7, 1.0000
1, 7, 0.75, 1.0000
1, 7, 0.8, 1.0000
1, 7, 0.85, 1.0000
1, 7, 0.9, 1.0000
1, 7, 0.95, 1.0000
1, 7, 1, 1.0000
1, 8, 0.1, 0.1757
1, 8, 0.15, 0.1757
1, 8, 0.2, 0.1757
1, 8, 0.25, 0.1757
1, 8, 0.3, 0.1757
1, 8, 0.35, 0.1892
1, 8, 0.4, 0.3514
1, 8, 0.45, 0.6081
1, 8, 0.5, 0.9459
1, 8, 0.55, 0.9865
1, 8, 0.6, 1.0000
1, 8, 0.65, 1.0000
1, 8, 0.7, 1.0000
1, 8, 0.75, 1.0000
1, 8, 0.8, 1.0000
1, 8, 0.85, 1.0000
1, 8, 0.9, 1.0000
1, 8, 0.95, 1.0000
1, 8, 1, 1.0000
1, 9, 0.1, 0.1757
1, 9, 0.15, 0.1757
1, 9, 0.2, 0.1757
1, 9, 0.25, 0.1757
1, 9, 0.3, 0.1757
1, 9, 0.35, 0.1892
1, 9, 0.4, 0.3514
1, 9, 0.45, 0.6081
1, 9, 0.5, 0.9459
1, 9, 0.55, 0.9865
1, 9, 0.6, 1.0000
1, 9, 0.65, 1.0000
1, 9, 0.7, 1.0000
1, 9, 0.75, 1.0000
1, 9, 0.8, 1.0000
1, 9, 0.85, 1.0000
1, 9, 0.9, 1.0000
1, 9, 0.95, 1.0000
1, 9, 1, 1.0000
1, 10, 0.1, 0.1757
1, 10, 0.15, 0.1757
1, 10, 0.2, 0.1757
1, 10, 0.25, 0.1757
1, 10, 0.3, 0.1757
1, 10, 0.35, 0.1892
1, 10, 0.4, 0.3514
1, 10, 0.45, 0.6081
1, 10, 0.5, 0.9459
1, 10, 0.55, 0.9865
1, 10, 0.6, 1.0000
1, 10, 0.65, 1.0000
1, 10, 0.7, 1.0000
1, 10, 0.75, 1.0000
1, 10, 0.8, 1.0000
1, 10, 0.85, 1.0000
1, 10, 0.9, 1.0000
1, 10, 0.95, 1.0000
1, 10, 1, 1.0000
2, 1, 0.1, 0.1757
2, 1, 0.15, 0.1757
2, 1, 0.2, 0.1757
2, 1, 0.25, 0.1757
2, 1, 0.3, 0.1757
2, 1, 0.35, 0.1892
2, 1, 0.4, 0.3514
2, 1, 0.45, 0.6081
2, 1, 0.5, 0.9459
2, 1, 0.55, 0.9865
2, 1, 0.6, 1.0000
2, 1, 0.65, 1.0000
2, 1, 0.7, 1.0000
2, 1, 0.75, 1.0000
2, 1, 0.8, 1.0000
2, 1, 0.85, 1.0000
2, 1, 0.9, 1.0000
2, 1, 0.95, 1.0000
2, 1, 1, 1.0000
2, 2, 0.1, 0.1757
2, 2, 0.15, 0.1757
2, 2, 0.2, 0.1757
2, 2, 0.25, 0.1757
2, 2, 0.3, 0.1757
2, 2, 0.35, 0.1892
2, 2, 0.4, 0.3514
2, 2, 0.45, 0.6081
2, 2, 0.5, 0.9459
2, 2, 0.55, 0.9865
2, 2, 0.6, 1.0000
2, 2, 0.65, 1.0000
2, 2, 0.7, 1.0000
2, 2, 0.75, 1.0000
2, 2, 0.8, 1.0000
2, 2, 0.85, 1.0000
2, 2, 0.9, 1.0000
2, 2, 0.95, 1.0000
2, 2, 1, 1.0000
2, 3, 0.1, 0.1757
2, 3, 0.15, 0.1757
2, 3, 0.2, 0.1757
2, 3, 0.25, 0.1757
2, 3, 0.3, 0.1757
2, 3, 0.35, 0.1892
2, 3, 0.4, 0.3514
2, 3, 0.45, 0.6081
2, 3, 0.5, 0.9459
2, 3, 0.55, 0.9865
2, 3, 0.6, 1.0000
2, 3, 0.65, 1.0000
2, 3, 0.7, 1.0000
2, 3, 0.75, 1.0000
2, 3, 0.8, 1.0000
2, 3, 0.85, 1.0000
2, 3, 0.9, 1.0000
2, 3, 0.95, 1.0000
2, 3, 1, 1.0000
2, 4, 0.1, 0.1757
2, 4, 0.15, 0.1757
2, 4, 0.2, 0.1757
2, 4, 0.25, 0.1757
2, 4, 0.3, 0.1757
2, 4, 0.35, 0.1892
2, 4, 0.4, 0.3514
2, 4, 0.45, 0.6081
2, 4, 0.5, 0.9459
2, 4, 0.55, 0.9865
2, 4, 0.6, 1.0000
2, 4, 0.65, 1.0000
2, 4, 0.7, 1.0000
2, 4, 0.75, 1.0000
2, 4, 0.8, 1.0000
2, 4, 0.85, 1.0000
2, 4, 0.9, 1.0000
2, 4, 0.95, 1.0000
2, 4, 1, 1.0000
2, 5, 0.1, 0.1757
2, 5, 0.15, 0.1757
2, 5, 0.2, 0.1757
2, 5, 0.25, 0.1757
2, 5, 0.3, 0.1757
2, 5, 0.35, 0.1892
2, 5, 0.4, 0.3514
2, 5, 0.45, 0.6081
2, 5, 0.5, 0.9459
2, 5, 0.55, 0.9865
2, 5, 0.6, 1.0000
2, 5, 0.65, 1.0000
2, 5, 0.7, 1.0000
2, 5, 0.75, 1.0000
2, 5, 0.8, 1.0000
2, 5, 0.85, 1.0000
2, 5, 0.9, 1.0000
2, 5, 0.95, 1.0000
2, 5, 1, 1.0000
2, 6, 0.1, 0.1757
2, 6, 0.15, 0.1757
2, 6, 0.2, 0.1757
2, 6, 0.25, 0.1757
2, 6, 0.3, 0.1757
2, 6, 0.35, 0.1892
2, 6, 0.4, 0.3514
2, 6, 0.45, 0.6081
2, 6, 0.5, 0.9459
2, 6, 0.55, 0.9865
2, 6, 0.6, 1.0000
2, 6, 0.65, 1.0000
2, 6, 0.7, 1.0000
2, 6, 0.75, 1.0000
2, 6, 0.8, 1.0000
2, 6, 0.85, 1.0000
2, 6, 0.9, 1.0000
2, 6, 0.95, 1.0000
2, 6, 1, 1.0000
2, 7, 0.1, 0.1757
2, 7, 0.15, 0.1757
2, 7, 0.2, 0.1757
2, 7, 0.25, 0.1757
2, 7, 0.3, 0.1757
2, 7, 0.35, 0.1892
2, 7, 0.4, 0.3514
2, 7, 0.45, 0.6081
2, 7, 0.5, 0.9459
2, 7, 0.55, 0.9865
2, 7, 0.6, 1.0000
2, 7, 0.65, 1.0000
2, 7, 0.7, 1.0000
2, 7, 0.75, 1.0000
2, 7, 0.8, 1.0000
2, 7, 0.85, 1.0000
2, 7, 0.9, 1.0000
2, 7, 0.95, 1.0000
2, 7, 1, 1.0000
2, 8, 0.1, 0.1757
2, 8, 0.15, 0.1757
2, 8, 0.2, 0.1757
2, 8, 0.25, 0.1757
2, 8, 0.3, 0.1757
2, 8, 0.35, 0.1892
2, 8, 0.4, 0.3514
2, 8, 0.45, 0.6081
2, 8, 0.5, 0.9459
2, 8, 0.55, 0.9865
2, 8, 0.6, 1.0000
2, 8, 0.65, 1.0000
2, 8, 0.7, 1.0000
2, 8, 0.75, 1.0000
2, 8, 0.8, 1.0000
2, 8, 0.85, 1.0000
2, 8, 0.9, 1.0000
2, 8, 0.95, 1.0000
2, 8, 1, 1.0000
2, 9, 0.1, 0.1757
2, 9, 0.15, 0.1757
2, 9, 0.2, 0.1757
2, 9, 0.25, 0.1757
2, 9, 0.3, 0.1757
2, 9, 0.35, 0.1892
2, 9, 0.4, 0.3514
2, 9, 0.45, 0.6081
2, 9, 0.5, 0.9459
2, 9, 0.55, 0.9865
2, 9, 0.6, 1.0000
2, 9, 0.65, 1.0000
2, 9, 0.7, 1.0000
2, 9, 0.75, 1.0000
2, 9, 0.8, 1.0000
2, 9, 0.85, 1.0000
2, 9, 0.9, 1.0000
2, 9, 0.95, 1.0000
2, 9, 1, 1.0000
2, 10, 0.1, 0.1757
2, 10, 0.15, 0.1757
2, 10, 0.2, 0.1757
2, 10, 0.25, 0.1757
2, 10, 0.3, 0.1757
2, 10, 0.35, 0.1892
2, 10, 0.4, 0.3514
2, 10, 0.45, 0.6081
2, 10, 0.5, 0.9459
2, 10, 0.55, 0.9865
2, 10, 0.6, 1.0000
2, 10, 0.65, 1.0000
2, 10, 0.7, 1.0000
2, 10, 0.75, 1.0000
2, 10, 0.8, 1.0000
2, 10, 0.85, 1.0000
2, 10, 0.9, 1.0000
2, 10, 0.95, 1.0000
2, 10, 1, 1.0000
3, 1, 0.1, 0.1757
3, 1, 0.15, 0.1757
3, 1, 0.2, 0.1757
3, 1, 0.25, 0.1757
3, 1, 0.3, 0.1757
3, 1, 0.35, 0.1892
3, 1, 0.4, 0.3514
3, 1, 0.45, 0.6081
3, 1, 0.5, 0.9459
3, 1, 0.55, 0.9865
3, 1, 0.6, 1.0000
3, 1, 0.65, 1.0000
3, 1, 0.7, 1.0000
3, 1, 0.75, 1.0000
3, 1, 0.8, 1.0000
3, 1, 0.85, 1.0000
3, 1, 0.9, 1.0000
3, 1, 0.95, 1.0000
3, 1, 1, 1.0000
3, 2, 0.1, 0.1757
3, 2, 0.15, 0.1757
3, 2, 0.2, 0.1757
3, 2, 0.25, 0.1757
3, 2, 0.3, 0.1757
3, 2, 0.35, 0.1892
3, 2, 0.4, 0.3514
3, 2, 0.45, 0.6081
3, 2, 0.5, 0.9459
3, 2, 0.55, 0.9865
3, 2, 0.6, 1.0000
3, 2, 0.65, 1.0000
3, 2, 0.7, 1.0000
3, 2, 0.75, 1.0000
3, 2, 0.8, 1.0000
3, 2, 0.85, 1.0000
3, 2, 0.9, 1.0000
3, 2, 0.95, 1.0000
3, 2, 1, 1.0000
3, 3, 0.1, 0.1757
3, 3, 0.15, 0.1757
3, 3, 0.2, 0.1757
3, 3, 0.25, 0.1757
3, 3, 0.3, 0.1757
3, 3, 0.35, 0.1892
3, 3, 0.4, 0.3514
3, 3, 0.45, 0.6081
3, 3, 0.5, 0.9459
3, 3, 0.55, 0.9865
3, 3, 0.6, 1.0000
3, 3, 0.65, 1.0000
3, 3, 0.7, 1.0000
3, 3, 0.75, 1.0000
3, 3, 0.8, 1.0000
3, 3, 0.85, 1.0000
3, 3, 0.9, 1.0000
3, 3, 0.95, 1.0000
3, 3, 1, 1.0000
3, 4, 0.1, 0.1757
3, 4, 0.15, 0.1757
3, 4, 0.2, 0.1757
3, 4, 0.25, 0.1757
3, 4, 0.3, 0.1757
3, 4, 0.35, 0.1892
3, 4, 0.4, 0.3514
3, 4, 0.45, 0.6081
3, 4, 0.5, 0.9459
3, 4, 0.55, 0.9865
3, 4, 0.6, 1.0000
3, 4, 0.65, 1.0000
3, 4, 0.7, 1.0000
3, 4, 0.75, 1.0000
3, 4, 0.8, 1.0000
3, 4, 0.85, 1.0000
3, 4, 0.9, 1.0000
3, 4, 0.95, 1.0000
3, 4, 1, 1.0000
3, 5, 0.1, 0.1757
3, 5, 0.15, 0.1757
3, 5, 0.2, 0.1757
3, 5, 0.25, 0.1757
3, 5, 0.3, 0.1757
3, 5, 0.35, 0.1892
3, 5, 0.4, 0.3514
3, 5, 0.45, 0.6081
3, 5, 0.5, 0.9459
3, 5, 0.55, 0.9865
3, 5, 0.6, 1.0000
3, 5, 0.65, 1.0000
3, 5, 0.7, 1.0000
3, 5, 0.75, 1.0000
3, 5, 0.8, 1.0000
3, 5, 0.85, 1.0000
3, 5, 0.9, 1.0000
3, 5, 0.95, 1.0000
3, 5, 1, 1.0000
3, 6, 0.1, 0.1757
3, 6, 0.15, 0.1757
3, 6, 0.2, 0.1757
3, 6, 0.25, 0.1757
3, 6, 0.3, 0.1757
3, 6, 0.35, 0.1892
3, 6, 0.4, 0.3514
3, 6, 0.45, 0.6081
3, 6, 0.5, 0.9459
3, 6, 0.55, 0.9865
3, 6, 0.6, 1.0000
3, 6, 0.65, 1.0000
3, 6, 0.7, 1.0000
3, 6, 0.75, 1.0000
3, 6, 0.8, 1.0000
3, 6, 0.85, 1.0000
3, 6, 0.9, 1.0000
3, 6, 0.95, 1.0000
3, 6, 1, 1.0000
3, 7, 0.1, 0.1757
3, 7, 0.15, 0.1757
3, 7, 0.2, 0.1757
3, 7, 0.25, 0.1757
3, 7, 0.3, 0.1757
3, 7, 0.35, 0.1892
3, 7, 0.4, 0.3514
3, 7, 0.45, 0.6081
3, 7, 0.5, 0.9459
3, 7, 0.55, 0.9865
3, 7, 0.6, 1.0000
3, 7, 0.65, 1.0000
3, 7, 0.7, 1.0000
3, 7, 0.75, 1.0000
3, 7, 0.8, 1.0000
3, 7, 0.85, 1.0000
3, 7, 0.9, 1.0000
3, 7, 0.95, 1.0000
3, 7, 1, 1.0000
3, 8, 0.1, 0.1757
3, 8, 0.15, 0.1757
3, 8, 0.2, 0.1757
3, 8, 0.25, 0.1757
3, 8, 0.3, 0.1757
3, 8, 0.35, 0.1892
3, 8, 0.4, 0.3514
3, 8, 0.45, 0.6081
3, 8, 0.5, 0.9459
3, 8, 0.55, 0.9865
3, 8, 0.6, 1.0000
3, 8, 0.65, 1.0000
3, 8, 0.7, 1.0000
3, 8, 0.75, 1.0000
3, 8, 0.8, 1.0000
3, 8, 0.85, 1.0000
3, 8, 0.9, 1.0000
3, 8, 0.95, 1.0000
3, 8, 1, 1.0000
3, 9, 0.1, 0.1757
3, 9, 0.15, 0.1757
3, 9, 0.2, 0.1757
3, 9, 0.25, 0.1757
3, 9, 0.3, 0.1757
3, 9, 0.35, 0.1892
3, 9, 0.4, 0.3514
3, 9, 0.45, 0.6081
3, 9, 0.5, 0.9459
